datetime,city,hour,day_of_week,precipitation,temperature,wind,true_group,pred_group
2026-01-10 07:21:53+00:00,Uppsala,7,Saturday,0.0,-6.1,21.9,Other,Traffic incident
2026-01-10 08:03:35+00:00,Västerås,8,Saturday,0.0,-9.3,21.3,Violence,Traffic incident
2026-01-10 08:28:33+00:00,Östersund,8,Saturday,0.0,-12.6,8.8,Traffic incident,Traffic incident
2026-01-10 08:37:43+00:00,Timrå,8,Saturday,0.0,-15.1,10.3,Other,Traffic incident
2026-01-10 08:46:12+00:00,Östhammar,8,Saturday,0.0,-4.7,18.6,Violence,Traffic incident
2026-01-10 08:53:08+00:00,Hudiksvall,8,Saturday,0.0,-13.1,10.7,Fire,Traffic incident
2026-01-10 09:10:53+00:00,Boden,9,Saturday,0.0,-29.9,7.3,Violence,Traffic incident
2026-01-10 09:22:07+00:00,Karlstad,9,Saturday,0.0,-12.7,14.4,Other,Traffic incident
2026-01-10 09:37:01+00:00,Skellefteå,9,Saturday,0.0,-24.1,7.3,Burglary and theft,Traffic incident
2026-01-10 09:52:46+00:00,Västerbottens län,9,Saturday,0.0,-25.5,3.6,Traffic incident,Traffic incident
2026-01-10 10:23:20+00:00,Västernorrlands län,10,Saturday,0.0,-20.8,7.6,Traffic incident,Traffic incident
2026-01-10 11:03:24+00:00,Kristinehamn,11,Saturday,0.0,-11.6,13.7,DUI and intoxication,Traffic incident
2026-01-10 11:05:34+00:00,Hagfors,11,Saturday,0.0,-16.6,7.0,Other,Traffic incident
2026-01-10 11:30:35+00:00,Eskilstuna,11,Saturday,0.0,-8.9,19.2,Traffic incident,Traffic incident
2026-01-10 11:37:20+00:00,Norrbottens län,11,Saturday,0.0,-26.7,3.9,Traffic incident,Traffic incident
2026-01-10 12:13:53+00:00,Helsingborg,12,Saturday,0.0,-5.4,16.9,Fire,Traffic incident
2026-01-10 12:18:08+00:00,Jämtlands län,12,Saturday,0.4,-11.6,8.0,Traffic incident,Other
2026-01-10 12:35:56+00:00,Örebro,12,Saturday,0.0,-12.0,12.8,Traffic incident,Traffic incident
2026-01-10 12:42:32+00:00,Uppsala,12,Saturday,0.0,-6.1,21.9,Traffic incident,Traffic incident
2026-01-10 13:24:07+00:00,Nora,13,Saturday,0.0,-12.1,13.7,Traffic incident,Traffic incident
2026-01-10 13:30:19+00:00,Krokom,13,Saturday,1.3,-12.7,5.8,Other,Traffic incident
2026-01-10 14:00:40+00:00,Ronneby,14,Saturday,0.0,-6.0,19.4,Traffic incident,Traffic incident
2026-01-10 14:19:41+00:00,Hultsfred,14,Saturday,0.0,-8.0,19.9,Fire,Traffic incident
2026-01-10 14:47:57+00:00,Vallentuna,14,Saturday,0.0,-5.6,21.4,Other,Traffic incident
2026-01-10 15:16:15+00:00,Kalmar,15,Saturday,0.0,-3.0,32.1,Traffic incident,Traffic incident
2026-01-10 16:10:30+00:00,Malmö,16,Saturday,0.0,-4.1,22.4,Violence,Traffic incident
2026-01-10 17:18:17+00:00,Klippan,17,Saturday,0.0,-6.7,13.9,Traffic incident,Traffic incident
2026-01-10 17:39:20+00:00,Lund,17,Saturday,0.0,-6.3,17.0,Traffic incident,Traffic incident
2026-01-10 18:36:06+00:00,Falköping,18,Saturday,0.0,-10.0,14.7,Burglary and theft,Traffic incident
2026-01-10 19:21:33+00:00,Oskarshamn,19,Saturday,0.0,-5.1,25.2,Traffic incident,Traffic incident
